run_id,model,history_steps,local_grid,structured_output,max_steps,reached_goal,final_distance,min_distance,invalid_move_rate,loop_rate,fallback_rate
run_20260220_042348_9,phi3:mini,10,True,False,80,False,16,11,0.275,0.1,0.275
run_20260220_050934_1,phi3:mini,20,True,False,80,False,15,12,0.3875,0.0625,0.3125
run_20260220_050934_10,phi3:mini,20,True,False,80,False,8,4,0.425,0.125,0.325
run_20260220_050934_2,phi3:mini,20,True,False,80,False,6,5,0.2,0.1375,0.375
run_20260220_050934_3,phi3:mini,20,True,False,80,False,13,10,0.3125,0.1125,0.325
run_20260220_050934_4,phi3:mini,20,True,False,80,False,13,12,0.3625,0.05,0.225
run_20260220_050934_5,phi3:mini,20,True,False,80,False,9,8,0.4375,0.1,0.2375
run_20260220_050934_6,phi3:mini,20,True,False,80,False,15,11,0.2875,0.1375,0.325
run_20260220_050934_7,phi3:mini,20,True,False,80,False,9,5,0.3375,0.075,0.2375
run_20260220_050934_8,phi3:mini,20,True,False,80,False,6,5,0.45,0.1625,0.2375
run_20260220_050934_9,phi3:mini,20,True,False,80,False,16,10,0.225,0.1375,0.3625
run_20260220_061922_1,phi3:mini,10,True,False,80,False,14,11,0.175,0.125,0.375
run_20260220_061922_10,phi3:mini,10,True,False,80,False,15,10,0.3375,0.075,0.3
run_20260220_061922_2,phi3:mini,10,True,False,80,False,14,11,0.275,0.0875,0.375
run_20260220_061922_3,phi3:mini,10,True,False,80,False,14,11,0.425,0.0625,0.2125
run_20260220_061922_4,phi3:mini,10,True,False,80,False,6,6,0.175,0.175,0.375
run_20260220_061922_5,phi3:mini,10,True,False,80,False,13,13,0.4375,0.0625,0.3625
run_20260220_061922_6,phi3:mini,10,True,False,80,False,14,9,0.325,0.15,0.3
run_20260220_061922_7,phi3:mini,10,True,False,80,False,4,4,0.275,0.1625,0.275
run_20260220_061922_8,phi3:mini,10,True,False,80,False,14,10,0.3,0.1,0.45
run_20260220_061922_9,phi3:mini,10,True,False,80,False,16,11,0.325,0.15,0.325
run_20260220_070904_1,gpt-oss:20b,0,True,False,60,True,0,0,0.44680851063829785,0.10638297872340426,0.2127659574468085
run_20260220_070904_10,gpt-oss:20b,0,True,False,60,True,0,0,0.25,0.0625,0.3125
run_20260220_070904_2,gpt-oss:20b,0,True,False,60,True,0,0,0.1875,0.15625,0.34375
run_20260220_070904_3,gpt-oss:20b,0,True,False,60,False,9,8,0.65,0.06666666666666667,0.21666666666666667
run_20260220_070904_4,gpt-oss:20b,0,True,False,60,True,0,0,0.4,0.13333333333333333,0.16666666666666666
run_20260220_070904_5,gpt-oss:20b,0,True,False,60,True,0,0,0.35135135135135137,0.05405405405405406,0.16216216216216217
run_20260220_070904_6,gpt-oss:20b,0,True,False,60,True,0,0,0.4,0.1,0.26
